TRADEDATE,ABIO,ABRD,AFKS,AFLT,AKRN,ALRS,AMEZ,APRI,APTK,AQUA,ARSA,ASSB,ASTR,AVAN,BANE,BANEP,BELU,BISVP,BLNG,BRZL,BSPB,BSPBP,CARM,CBOM,CHGZ,CHKZ,CHMF,CHMK,CNRU,CNTL,CNTLP,DATA,DELI,DIAS,DIOD,DVEC,DZRD,DZRDP,EELT,ELFV,ELMT,ENPG,ETLN,EUTR,FEES,FESH,FIXR,FLOT,GAZA,GAZAP,GAZP,GCHE,GECO,GEMA,GEMC,GMKN,GTRK,HEAD,HIMCP,HNFG,HYDR,IGST,IGSTP,IRAO,IRKT,IVAT,JNOS,JNOSP,KAZT,KAZTP,KBSB,KCHE,KCHEP,KFBA,KGKC,KGKCP,KLSB,KLVZ,KMAZ,KMEZ,KOGK,KRKN,KRKNP,KRKOP,KROT,KROTP,KRSB,KRSBP,KUZB,KZOS,KZOSP,LEAS,LENT,LIFE,LKOH,LMBZ,LNZL,LNZLP,LPSB,LSNG,LSNGP,LSRG,LVHK,MAGE,MAGEP,MAGN,MBNK,MDMG,MFGS,MFGSP,MGKL,MGNT,MGTS,MGTSP,MISB,MISBP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MRSB,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSS,MVID,NAUK,NFAZ,NKHP,NKNC,NKNCP,NKSH,NLMK,NMTP,NNSB,NNSBP,NSVZ,NVTK,OGKB,OKEY,OMZZP,OZON,OZPH,PAZA,PHOR,PIKK,PLZL,PMSB,PMSBP,POSI,PRFN,PRMB,PRMD,RAGR,RASP,RBCM,RDRB,RENI,RGSS,RKKE,RNFT,ROLO,ROSN,ROST,RTGZ,RTKM,RTKMP,RTSB,RTSBP,RUAL,RUSI,RZSB,SAGO,SAGOP,SARE,SAREP,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SLEN,SMLT,SNGS,SNGSP,SOFL,SPBE,STSB,STSBP,SVAV,SVCB,SVET,SVETP,T,TASB,TASBP,TATN,TATNP,TGKA,TGKB,TGKBP,TGKN,TNSE,TORS,TORSP,TRMK,TRNFP,TTLK,TUZA,UGLD,UKUZ,UNAC,UNKL,UPRO,URKZ,USBN,UTAR,UWGN,VEON-RX,VGSB,VGSBP,VJGZ,VJGZP,VKCO,VLHZ,VRSB,VRSBP,VSEH,VSMO,VSYD,VSYDP,VTBR,WTCM,WTCMP,WUSH,X5,YAKG,YDEX,YKEN,YKENP,YRSB,YRSBP,ZAYM,ZILL,ZVEZ
2023-10-10,122.96,304.0,17.458,40.74,18950.0,77.32,98.29,,16.352,957.0,10.95,4.194,,1168.0,2045.5,1568.0,5609.0,16.1,33.045,1673.0,272.7,66.0,2.558,7.011,91.8,22750.0,1374.4,10535.0,,20.54,13.78,,,,18.8,4.98,8300.0,5920.0,12.78,0.7246,,523.2,87.6,,0.11806,97.97,,119.8,1045.0,610.5,168.03,4060.0,60.41,1132.5,839.8,16294.0,617.65,,36.05,,0.858,13448.0,10120.0,4.425,108.8,,34.95,19.0,741.0,793.8,749.0,1.1275,1.76,,67.4,52.0,39.1,,236.6,2548.0,67800.0,13950.0,13820.0,16.79,2958.0,734.0,20.37,19.44,0.06151,117.7,31.69,,726.0,7.545,6853.5,,18500.0,3305.0,39.25,25.38,199.1,711.8,50.14,7.29,5.26,52.695,,841.8,563.0,399.5,,5656.0,2025.0,1692.0,102.7,88.7,182.76,0.545,30.52,0.3378,0.766,0.4328,0.06665,0.0928,0.09735,1.027,3.07,1.3755,262.4,233.29,238.85,272.65,191.7,679.0,598.5,1449.0,129.1,84.08,93.9,207.72,12.82,6640.0,2348.0,625.5,1717.4,0.585,36.09,16320.0,2720.0,,18400.0,6831.0,758.8,11569.5,238.2,266.2,2526.8,7.354,40000.0,,,357.0,6.52,205.0,100.12,0.3188,31020.0,160.0,1.577,549.0,184.0,35300.0,74.76,68.9,6.24,2.821,40.46,91.5,37.12,4.12,3.082,0.887,0.449,263.0,262.89,80.27,514.8,5.354,734.25,6.645,3911.0,33.29,55.715,192.88,160.5,3.637,2.646,1000.0,,36.2,,,2.577,1.2435,649.5,649.6,0.010496,0.01098,0.01473,0.01722,4515.0,1.078,0.64,216.1,140100.0,1.2195,206.5,,1884.0,1.917,10020.0,2.317,31050.0,0.1869,15.64,109.0,49.6,19.135,13.5,2492.0,1071.0,,306.0,718.6,275.0,,42480.0,22500.0,15860.0,0.02534,15.52,10.62,210.96,,130.3,,1.018,0.7085,1390.0,407.0,,3510.0,16.175
2023-10-11,119.74,298.2,17.143,40.36,19048.0,75.89,97.4,,16.358,979.0,11.16,4.072,,1158.0,2018.0,1552.0,5516.0,16.37,32.44,1676.0,270.02,64.8,2.54,7.041,90.0,22900.0,1358.0,10500.0,,20.72,13.96,,,,19.0,4.875,8390.0,6070.0,12.74,0.7312,,510.6,89.3,,0.11594,95.99,,117.99,1060.0,614.0,167.89,4035.5,61.0,1125.0,845.3,16126.0,627.25,,35.94,,0.8376,13512.0,10200.0,4.3365,109.1,,35.4,19.04,737.8,790.0,769.0,1.15,1.798,,68.4,52.0,39.8,,238.9,2485.0,67600.0,13950.0,13840.0,17.05,2939.0,735.0,20.33,19.48,0.06115,117.0,31.32,,727.0,7.47,6890.5,,18450.0,3280.0,39.9,25.36,200.15,711.0,50.65,7.25,5.2,51.42,,850.3,612.0,410.5,,5550.5,2000.0,1678.0,104.7,89.5,179.2,0.551,30.44,0.3382,0.764,0.4392,0.06615,0.0925,0.0977,1.02,3.0565,1.3935,265.0,226.86,237.95,270.45,188.8,692.6,593.0,1393.0,127.9,84.2,92.2,201.36,12.63,6720.0,2460.0,623.5,1690.2,0.5936,36.05,16400.0,2670.0,,18580.0,6714.0,745.6,11457.0,240.0,265.2,2500.0,7.345,39600.0,,,353.75,6.472,205.0,98.84,0.3206,31860.0,161.7,1.5603,540.35,183.6,35200.0,74.15,68.0,6.28,2.789,39.635,91.2,37.96,4.148,3.214,0.8942,0.452,260.21,260.16,78.0,514.8,5.227,727.0,6.74,3930.0,31.88,53.08,191.36,157.8,3.716,2.629,996.0,,36.05,,,2.6815,1.2725,618.8,618.7,0.010734,0.0114,0.01472,0.01729,4710.0,1.079,0.644,221.8,140250.0,1.2055,202.5,,1868.0,1.889,9880.0,2.256,31000.0,0.1834,17.18,108.6,47.2,19.175,13.555,2492.0,1071.0,,301.25,727.0,295.0,,42300.0,21895.0,15700.0,0.024845,15.66,10.68,215.12,,132.0,,1.0405,0.692,1402.0,403.5,,3500.0,15.78
2023-10-12,118.22,292.8,17.501,40.4,19020.0,76.86,96.99,,16.0,996.0,10.93,3.965,,1150.0,2015.0,1538.5,5563.0,15.87,31.99,1646.0,269.65,64.2,2.524,7.009,87.0,22250.0,1368.8,10410.0,,20.4,13.62,,,,18.26,4.766,8300.0,5910.0,12.66,0.7156,,515.0,90.4,,0.11582,94.7,,118.98,1010.0,616.0,169.5,4083.0,63.12,1119.5,863.4,16278.0,605.4,,35.34,,0.8387,14310.0,10310.0,4.4035,106.75,,34.95,19.04,726.0,774.4,773.0,1.1055,1.779,,67.6,51.8,39.04,,234.0,2449.0,65400.0,13850.0,13720.0,16.64,2873.0,714.0,20.08,19.36,0.06585,116.0,30.84,,723.5,7.37,7120.0,,18100.0,3215.0,38.4,25.0,199.45,720.0,48.66,6.98,5.05,52.325,,845.5,612.0,397.5,,5562.0,1970.0,1660.0,105.8,88.5,186.55,0.5474,30.84,0.3353,0.75,0.431,0.065,0.09165,0.09645,1.001,3.045,1.375,256.9,232.27,245.4,271.2,191.7,674.0,565.0,1300.5,126.2,83.72,91.04,199.02,12.52,6900.0,2371.0,612.0,1703.6,0.6085,36.61,16020.0,2713.0,,18360.0,6756.0,746.0,11513.5,232.9,256.8,2515.2,7.269,38400.0,,,347.9,6.362,203.0,97.16,0.3122,31080.0,162.1,1.5011,546.05,179.4,34500.0,76.1,67.0,6.236,2.778,39.705,90.1,37.1,4.162,3.268,0.88,0.4474,264.5,264.01,79.64,509.6,5.269,734.0,6.505,3931.0,32.235,53.5,184.4,167.2,3.629,2.679,982.0,,36.0,,,2.657,1.23,617.6,619.0,0.010816,0.01196,0.015,0.01726,4655.0,1.073,0.6375,217.7,140850.0,1.183,200.5,,1866.0,1.85,9650.0,2.3,29600.0,0.1824,16.16,105.8,46.75,18.19,13.01,2398.0,1080.0,,290.0,704.8,288.2,,41620.0,21250.0,14940.0,0.025175,15.4,10.62,215.89,,131.95,,1.015,0.7385,1370.0,399.5,,3445.0,15.905
2023-10-13,118.82,298.2,17.428,40.45,18998.0,76.7,96.66,,16.356,1022.5,11.74,4.075,466.2,1150.0,2017.5,1551.0,5684.0,16.01,31.955,1626.0,268.1,63.75,2.533,7.019,105.8,21900.0,1378.2,11090.0,,20.3,13.56,,,,18.33,4.742,8260.0,5980.0,12.7,0.716,,515.6,89.52,,0.11586,95.38,,120.15,1014.0,616.5,170.2,4102.5,64.0,1120.0,868.4,16284.0,601.2,,36.12,,0.8394,13892.0,10190.0,4.419,108.85,,35.1,19.08,727.4,773.4,784.0,1.1115,1.819,,67.0,52.2,38.94,,235.5,2450.0,68000.0,14250.0,13780.0,16.75,2868.0,708.0,20.1,19.34,0.0648,117.3,30.56,,728.0,7.34,7244.0,,18200.0,3235.0,38.15,25.08,198.7,721.4,48.8,7.0,5.05,52.695,,843.8,603.5,399.0,,5599.5,1970.0,1660.0,105.0,88.3,185.6,0.5498,31.36,0.3356,0.7515,0.436,0.06555,0.0914,0.09495,1.054,3.0305,1.3725,261.95,237.88,247.2,271.05,190.9,675.0,578.5,1314.5,126.5,83.76,89.62,198.44,12.635,6885.0,2368.0,615.0,1708.4,0.5958,36.52,16005.0,2728.0,,18340.0,6761.0,741.6,11686.0,235.3,258.6,2543.0,7.212,39400.0,,,349.4,6.282,202.0,95.74,0.313,30810.0,164.5,1.5147,561.85,179.0,34600.0,75.66,66.25,6.28,2.784,39.61,92.5,37.2,4.27,3.238,0.8904,0.4516,263.51,263.21,80.12,512.4,5.28,747.45,6.57,3988.5,32.48,52.865,187.02,167.2,3.674,2.652,992.5,,36.05,,,2.68,1.235,628.3,629.6,0.010742,0.01179,0.01474,0.01711,4870.0,1.09,0.638,217.9,141800.0,1.184,203.0,,1900.0,1.8905,9710.0,2.295,30400.0,0.1797,16.27,103.9,46.75,17.935,13.285,2388.0,1120.0,,299.95,704.0,286.4,,41800.0,21630.0,15280.0,0.02538,15.46,10.66,217.19,,130.7,,1.014,0.779,1416.0,399.5,,3455.0,15.625
2023-10-16,119.14,304.8,17.665,41.34,19162.0,76.9,95.82,,16.372,1010.5,11.71,4.088,560.0,1172.0,2047.0,1620.0,5759.0,18.55,31.945,1629.0,267.81,63.75,2.621,7.099,103.4,22050.0,1403.8,11000.0,,20.64,13.7,,,,18.51,4.727,8235.0,5990.0,12.78,0.7376,,516.8,90.16,,0.11986,96.8,,121.0,1053.5,631.0,172.55,4141.5,61.265,1132.0,875.0,16432.0,583.0,,37.92,,0.8705,14800.0,10538.0,4.4695,108.45,,34.9,19.14,721.0,774.6,819.0,1.111,1.806,,66.6,52.4,39.07,,236.4,2467.0,67000.0,14100.0,13820.0,16.69,2885.0,713.0,19.98,19.52,0.06619,118.5,31.2,,750.0,7.475,7335.0,,18520.0,3255.0,38.9,25.11,199.3,742.6,47.33,7.06,5.25,53.9,,855.0,619.0,416.5,,5665.0,1990.0,1666.0,108.8,91.0,188.37,0.563,31.92,0.3421,0.755,0.4378,0.06555,0.09115,0.09815,1.07,3.07,1.3975,262.6,237.42,248.4,275.6,194.6,678.0,589.0,1378.0,127.65,83.74,88.7,200.3,12.635,7025.0,2414.0,613.0,1729.6,0.605,37.05,15970.0,2739.5,,18560.0,6876.0,759.5,11715.5,235.4,259.0,2433.4,7.25,39400.0,,,354.65,6.336,201.0,98.5,0.3156,31010.0,174.5,1.5238,568.65,178.6,35400.0,75.79,66.9,6.422,2.767,40.42,94.1,37.0,4.37,3.238,1.0,0.4728,268.15,268.04,80.28,519.0,5.35,767.7,6.59,4092.0,32.785,54.34,180.04,170.4,3.81,2.728,992.5,,35.9,,,2.8295,1.2745,628.9,630.2,0.011008,0.0119,0.01506,0.018,5270.0,1.1,0.655,222.42,144100.0,1.222,213.5,,1898.0,1.892,9690.0,2.308,30750.0,0.1817,17.13,106.2,46.6,18.39,13.465,2460.0,1130.0,,307.7,710.4,294.0,,42260.0,21655.0,15240.0,0.02598,15.24,10.68,225.0,,133.8,,1.003,0.826,1442.0,403.0,,3490.0,15.43
2023-10-17,118.2,300.0,17.636,41.13,19224.0,77.01,96.61,,16.294,1002.5,11.46,4.205,531.6,1180.0,2040.0,1622.0,5780.0,18.06,32.3,1644.0,271.88,63.45,2.6355,7.266,102.8,22600.0,1422.2,10875.0,,21.1,13.72,,,,18.9,4.747,8260.0,5980.0,13.24,0.7314,,516.4,90.98,,0.11914,99.71,,125.05,1048.0,634.5,171.97,4137.0,61.5,1124.0,868.0,16520.0,559.05,,38.93,,0.8607,15296.0,10886.0,4.4585,107.3,,34.5,19.04,723.4,774.0,867.0,1.1505,1.869,,71.0,52.8,40.39,,240.4,2500.0,66600.0,14300.0,13780.0,16.71,2875.0,731.0,20.55,19.58,0.06851,117.7,31.36,,764.0,7.53,7384.5,,19910.0,3330.0,40.5,25.25,200.0,739.0,46.45,7.21,5.3,53.515,,869.1,621.5,413.0,,5764.5,1980.0,1666.0,123.8,97.1,190.69,0.574,32.52,0.3442,0.7665,0.4416,0.0658,0.0928,0.09845,1.152,3.17,1.4055,263.5,237.04,247.75,275.9,194.1,680.4,604.0,1348.5,126.75,83.64,87.72,199.56,13.37,7640.0,2530.0,625.0,1728.6,0.605,36.9,16050.0,2738.0,,18960.0,6885.0,767.2,11849.5,236.0,261.8,2317.0,7.282,38800.0,,,353.2,6.502,213.0,101.08,0.3184,31120.0,172.0,1.632,573.05,179.8,34800.0,78.7,69.6,6.75,2.879,40.195,96.1,38.62,4.472,3.39,1.0418,0.4862,270.0,269.95,80.3,535.6,5.31,766.0,6.96,4095.0,32.95,54.9,171.0,168.0,3.89,2.8105,991.0,,36.25,,,2.8835,1.3675,628.5,629.0,0.01114,0.011845,0.01503,0.018,5430.0,1.123,0.6635,229.9,146250.0,1.215,213.0,,1952.0,1.882,9660.0,2.35,31250.0,0.1805,16.85,104.3,46.15,19.05,13.575,2470.0,1103.0,,314.2,755.0,303.0,,42160.0,21995.0,15720.0,0.026195,15.4,10.68,224.94,,136.55,,1.014,0.8395,1634.0,422.0,,3495.0,15.5
2023-10-18,118.74,299.8,17.518,40.83,19028.0,72.82,95.98,,16.39,1005.5,11.62,4.2,506.0,1174.0,2038.5,1641.0,5753.0,17.33,32.45,1701.0,269.6,64.1,2.681,7.207,124.4,22850.0,1408.6,10685.0,,20.68,13.62,,,,19.29,4.798,8175.0,6040.0,13.3,0.7302,,517.6,89.96,,0.11782,97.89,,123.62,1039.0,633.5,170.18,4307.0,60.065,1124.0,873.9,16472.0,536.0,,39.2,,0.8586,14900.0,10672.0,4.4195,109.45,,34.75,18.96,722.0,778.0,878.5,1.228,1.902,,70.2,52.8,40.2,,238.9,2487.0,67000.0,14250.0,13760.0,16.95,2877.0,725.0,21.19,20.1,0.06839,123.3,31.49,,746.5,7.47,7488.0,,19320.0,3285.0,42.25,24.93,199.8,729.8,46.75,7.22,5.27,53.395,,856.4,629.0,405.0,,5753.0,1965.0,1628.0,125.7,99.6,190.21,0.5772,31.32,0.3411,0.7585,0.4426,0.06565,0.0935,0.09775,1.202,3.114,1.3965,270.1,245.09,253.6,275.0,193.9,690.0,599.0,1405.0,123.55,83.56,88.04,197.56,13.29,7705.0,2580.0,618.0,1730.0,0.601,35.88,15900.0,2732.5,,18520.0,6948.0,772.0,11928.5,236.4,258.0,2334.0,7.517,38800.0,,,352.0,6.772,212.0,101.92,0.3232,30790.0,173.2,1.5849,586.8,179.2,34500.0,77.51,70.75,7.05,3.086,39.995,94.8,38.9,4.5,3.37,1.024,0.494,267.9,267.55,80.91,554.4,5.274,789.85,7.005,4106.5,32.96,55.685,167.9,166.6,3.943,2.8975,984.5,,35.9,,,2.95,1.511,632.3,630.7,0.01094,0.011605,0.01493,0.01824,5600.0,1.136,0.66,235.8,148900.0,1.2015,211.5,,1970.0,1.9135,9640.0,2.319,31350.0,0.1822,16.48,104.3,45.05,20.1,15.005,2424.0,1098.0,,307.2,840.0,310.0,,42160.0,22090.0,15780.0,0.02612,15.22,10.62,221.84,,132.3,,1.008,0.8165,1716.0,463.5,,3645.0,15.505
2023-10-19,117.48,297.0,17.424,40.88,19108.0,72.2,94.45,,16.3,1003.5,11.46,4.188,502.7,1164.0,2039.5,1622.0,5700.0,17.37,32.44,1694.0,267.0,64.5,2.648,7.217,136.6,23050.0,1396.0,11030.0,,20.48,13.6,,,,19.11,4.805,7935.0,6100.0,13.34,0.7438,,512.8,88.98,,0.12272,96.58,,123.0,1071.0,662.5,170.38,4263.5,59.8,1109.0,871.6,16788.0,605.0,,38.57,,0.8651,14616.0,10774.0,4.4475,108.05,,34.45,18.8,730.2,785.4,859.0,1.1985,1.959,,68.0,52.6,39.9,,249.7,2477.0,67600.0,14250.0,13780.0,17.19,2857.0,715.0,21.24,19.92,0.06752,126.2,31.4,,749.0,7.46,7486.0,,19420.0,3295.0,41.7,24.79,200.0,727.8,47.13,7.2,5.24,53.27,,856.3,621.0,396.0,,5795.5,1950.0,1606.0,121.0,96.5,190.4,0.5926,31.14,0.3421,0.7655,0.4404,0.0659,0.093,0.0983,1.155,3.1635,1.389,267.3,260.61,261.45,273.4,192.6,684.0,619.5,1373.0,123.1,82.72,90.66,197.0,13.095,7720.0,2597.0,616.5,1723.2,0.5997,35.85,15955.0,2783.0,,18400.0,6899.0,765.9,11887.5,239.0,260.6,2314.0,7.575,38600.0,,,363.85,6.63,214.0,101.3,0.317,30600.0,171.3,1.614,595.25,179.6,35200.0,77.8,71.25,6.894,3.019,39.915,94.2,39.44,4.4,3.39,0.991,0.4842,268.65,268.23,83.15,548.2,5.302,798.0,7.13,4086.0,32.895,55.39,173.7,163.9,3.942,2.836,1039.0,,37.0,,,2.92,1.458,633.1,628.0,0.010994,0.01169,0.01494,0.01837,5500.0,1.124,0.653,232.5,147800.0,1.2225,224.5,,2050.0,1.898,9770.0,2.318,31050.0,0.1834,16.36,103.1,45.35,19.8,14.625,2448.0,1064.0,,307.55,799.8,303.8,,42460.0,22170.0,15480.0,0.02617,15.22,10.58,218.52,,133.4,,1.0165,0.8145,1658.0,460.5,,3645.0,15.705
2023-10-20,116.5,292.8,17.838,40.93,19002.0,72.06,94.82,,16.084,966.0,12.01,4.039,480.75,1152.0,2028.0,1606.0,5682.0,17.28,32.215,1695.0,263.53,64.35,2.628,7.213,150.0,24700.0,1409.8,10950.0,,20.36,13.46,,,,18.6,4.736,7505.0,5500.0,13.04,0.741,,515.4,87.54,,0.12184,95.62,,122.38,1055.0,660.0,171.39,4224.0,56.75,1112.0,855.7,17122.0,556.95,,39.11,,0.8731,14482.0,10548.0,4.4355,106.75,,33.7,18.66,720.2,775.4,798.0,1.1605,1.817,,68.0,53.0,38.83,,245.6,2470.0,66800.0,14350.0,13700.0,16.94,2789.0,711.0,20.63,19.7,0.06525,125.8,31.4,,762.5,7.395,7491.5,,19520.0,3270.0,40.4,24.34,199.45,728.2,47.1,7.14,5.23,52.93,,849.2,618.5,387.0,,5839.0,1950.0,1630.0,118.9,92.3,189.18,0.5864,30.52,0.3397,0.7555,0.4394,0.066,0.092,0.0975,1.165,3.153,1.39,262.25,255.22,258.55,274.85,191.3,679.0,617.0,1327.0,122.55,82.56,88.38,197.22,12.95,6995.0,2473.0,607.0,1708.6,0.6173,36.39,17030.0,2757.0,,18600.0,6770.0,762.8,11829.0,235.3,256.2,2280.6,7.427,38600.0,,,362.2,6.464,213.0,99.88,0.3132,30150.0,171.9,1.6078,602.9,178.2,34900.0,77.39,71.5,6.45,2.788,40.685,90.4,38.5,4.07,3.26,0.932,0.448,269.8,269.57,81.0,527.6,5.296,806.0,6.935,4050.0,32.615,54.44,170.5,163.4,3.705,2.741,1009.5,,36.4,,,2.6625,1.4,630.4,625.1,0.01103,0.0117,0.01484,0.01776,5030.0,1.125,0.674,231.2,145950.0,1.1905,230.5,,2042.0,1.8855,9710.0,2.317,31300.0,0.181,16.21,92.2,45.0,19.745,14.195,2539.0,1224.0,619.6,303.9,765.0,275.0,,42220.0,21365.0,15480.0,0.025995,15.12,10.64,216.4,,132.45,,0.999,0.8135,1510.0,423.0,,3615.0,15.25
2023-10-23,113.88,293.2,17.707,40.94,18990.0,72.61,92.71,,16.18,971.5,11.8,4.035,497.7,1162.0,2013.0,1620.0,5755.0,17.36,32.06,1670.0,261.3,64.1,2.64,7.338,164.6,30200.0,1399.8,10805.0,,20.56,13.5,,,,18.9,4.741,7510.0,5240.0,13.32,0.7644,,514.0,87.68,,0.12376,95.01,,123.16,1063.5,658.5,170.39,4238.0,53.505,1088.0,846.4,17108.0,540.3,,39.37,,0.8729,14316.0,10746.0,4.519,104.6,,33.55,18.6,721.4,788.8,840.0,1.151,1.874,,67.4,52.8,39.53,,243.0,2472.0,66600.0,14100.0,13660.0,16.82,2869.0,723.0,20.68,19.58,0.06491,123.2,31.66,,762.0,7.415,7462.5,,19350.0,3260.0,41.05,25.4,201.25,737.6,47.79,7.07,5.24,52.93,,865.0,612.5,381.0,,5973.5,1965.0,1658.0,120.5,96.7,186.78,0.5904,30.24,0.3418,0.7565,0.4384,0.06645,0.09315,0.09835,1.142,3.333,1.426,264.5,259.0,258.35,275.0,190.4,666.6,602.5,1349.0,122.05,82.72,88.24,194.22,12.975,7315.0,2557.0,584.0,1688.0,0.6275,36.32,18295.0,2740.0,,18620.0,6829.0,763.8,11797.0,235.5,257.6,2217.8,7.361,38200.0,,,365.25,6.3,218.0,99.46,0.3116,30010.0,169.8,1.6833,593.3,177.6,35200.0,77.55,71.75,6.52,2.89,40.54,89.9,39.5,4.1,3.272,0.9234,0.4626,270.1,269.75,80.11,551.8,5.26,795.15,6.81,4078.5,32.275,53.125,176.6,163.1,3.779,2.7695,997.0,,36.25,,,2.674,1.426,626.6,621.8,0.011346,0.011805,0.01513,0.01762,5170.0,1.113,0.668,228.72,144550.0,1.174,234.5,,2082.0,1.861,9670.0,2.433,31300.0,0.1807,16.33,79.0,42.8,19.53,14.63,2525.0,1193.0,619.6,300.75,804.0,289.8,,41960.0,21530.0,15640.0,0.02611,14.98,10.72,220.0,,132.1,,0.9905,0.8305,1760.0,465.5,,3675.0,15.345
